PlayerName,AV
Mike Ditka\DitkMi00,4
William Frizzell\FrizWi20,4
Jimmie Giles\GileJi00,4
Jeff Graham\GrahJe00,4
Roy Green\GreeRo01,4
Tony Guillory\GuilTo20,4
Wally Henry\HenrWa00,4
Roy Hord\HordRo20,4
Jordan Howard\HowaJo00,4
Herman Hunter\HuntHe00,4
Jalen Hurts\HurtJa00,4
Malik Jackson\JackMa02,4
Maurice Johnson\JohnMa01,4
Sean Jones\JoneSe20,4
Sidney Jones\JoneSi00,4
Vyto Kab\KabxVy00,4
Jim Kelly\KellJi02,4
Rich Kraynak\KrayRi20,4
Bill Lapham\LaphBi20,4
Cre'von LeBlanc\LeBlCr01,4
Joe Lewis\LewiJo20,4
Dick Lucas\LucaDi00,4
Jordan Mailata\MailJo00,4
Ray Mansfield\MansRa20,4
Marlin McKeever\McKeMa00,4
John Mellekas\MellJo20,4
Keith Millard\MillKe00,4
Haloti Ngata\NgatHa20,4
Lonnie Palelei\PaleLo20,4
Artimus Parker\ParkAr20,4
Rodney Parker\ParkRo00,4
Cody Parkey\ParkCo03,4
Stanley Pritchett\PritSt00,4
Jalen Reagor\ReagJa00,4
Hassan Ridgeway\RidgHa00,4
Torrey Smith\SmitTo02,4
John Sodaski\SodaJo20,4
Danny Stubbs\StubDa20,4
Leo Sugar\SugaLe00,4
Michael Timpson\TimpMi00,4
Larry Watkins\WatkLa00,4
Leonard Weaver\WeavLe00,4
Fred Whittingham\WhitFr21,4
John Wilcox\WilcJo20,4
Michael Williams\WillMi01,4
Earl Wolff\WolfEa00,4
Marc Woodard\WoodMa21,4
Luis Zendejas\zendelui01,4
Josh Adams\AdamJo03,3
Chuck Allen\AlleCh00,3
Houston Antwine\AntwHo00,3
John Baker\BakeJo20,3
Kenjon Barner\BarnKe00,3
Demetress Bell\BellDe20,3
James Betterson\BettJa00,3
Harry Boatswain\BoatHa20,3
Chris Boniol\boniochr01,3
Ron Brooks\BrooRo01,3
Luther Broughton\BrouLu00,3
Zach Brown\BrowZa00,3
Ronnie Bull\BullRo00,3
Rob Carpenter\CarpRo00,3
Mike Curcio\CurcMi20,3
Quintin Demps\DempQu99,3
Andre Dillard\DillAn00,3
Robert Drummond\DrumRo00,3
Justin Ena\EnaxJu20,3
Alonzo Ephraim\EphrAl20,3
Marcus Epps\EppsMa00,3
Scott Fitzkee\FitzSc00,3
Travis Fulgham\FulgTr00,3
Dorial Green-Beckham\GreeDo00,3
Burt Grossman\GrosBu20,3
Mark Gunn\GunnMa20,3
Nick Haden\HadeNi20,3
Clay Harbor\HarbCl00,3
Victor Harris\HarrVi99,3
Mack Hollins\HollMa00,3
Melvin Hoover\HoovMe00,3
Tom Jelesky\JeleTo20,3
Damaris Johnson\JohnDa04,3
Jay Johnson\JohnJa25,3
Spike Jones\JoneSp20,3
Pete Lazetich\LazePe20,3
Reno Mahe\MaheRe00,3
John Mallory\MallJo21,3
Art Malone\MaloAr00,3
Rosie Manning\MannRo20,3
Chris Maragos\MaraCh99,3
Jerome McDougle\McDoJe20,3
Nick Mike-Mayer\MikeNi20,3
Eddie Murray\murraedd01,3
Don Oakes\OakeDo00,3
Derrick Oden\OdenDe20,3
Jim Opperman\OppeJi20,3
Ken Payne\PaynKe00,3
Will Peterson\PeteWi20,3
Chris Polk\PolkCh00,3
Bill Quinlan\QuinBi20,3
J.R. Reed\ReedJ.20,3
Leonard Renfro\RenfLe20,3
Nickell Robey-Coleman\RobeNi00,3
Thomas Sanders\SandTh00,3
Matt Schobel\SchoMa00,3
Steve Sciullo\SciuSt20,3
Jake Scott\ScotJa21,3
Mark Seay\SeayMa00,3
Mickey Shuler\ShulMi00,3
Vai Sikahema\SikaVa00,3
Darrin Smith\SmitDa22,3
Isaac Sopoaga\SopoIs20,3
Chance Warmack\WarmCh00,3
Ed West\WestEd00,3
Tracy White\WhitTr20,3
Vernon Winfield\WinfVe20,3
Dean Wink\WinkDe20,3
Dennis Wirgowski\WirgDe20,3
Derrick Witherspoon\WithDe20,3
Mike Woulfe\WoulMi20,3
Dexter Wynn\WynnDe20,3
Vince Young\YounVi00,3
Dick Absher\AbshDi20,2
Emmanuel Acho\AchoEm00,2
Ty Allert\AlleTy20,2
Kiko Alonso\AlonKi00,2
Stacy Andrews\AndrSt21,2
JJ Arcega-Whiteside\ArceJJ00,2
Miles Austin\AustMi00,2
Genard Avery\AverGe00,2
Brandon Bair\BairBr00,2
E.J. Biggers\BiggE.99,2
Bryan Braman\BramBr00,2
Thomas Brown\BrowTh20,2
Dave Cahill\CahiDa20,2
Howard Cassady\CassHo00,2
Mike Chalenski\ChalMi20,2
Mike Clark\ClarMi20,2
Adrien Clarke\ClarAd20,2
Keenan Clayton\ClayKe99,2
Bill Cody\CodyBi20,2
Steve Colavito\ColaSt20,2
Willie Cullars\CullWi20,2
Torrance Daniels\DaniTo20,2
Sonny Davis\DaviSo00,2
Richard Dent\DentRi00,2
Kyle DeVan\DeVaKy00,2
Dameane Douglas\DougDa00,2
Jack Driscoll\DrisJa00,2
Larry Estes\EsteLa20,2
Rudy Ford\FordRu00,2
Cleveland Franklin\FranCl00,2
Carl Gersbach\GersCa20,2
Glenn Glass\GlasGl00,2
Lamar Gordon\GordLa00,2
Otis Grant\GranOt00,2
Cecil Gray\GrayCe20,2
Dave Hampton\HampDa00,2
Jerome Harrison\HarrJe00,2
Bruce Hector\HectBr00,2
George Hegamin\HegaGe20,2
Chas Henry\HenrCh02,2
Ellis Hobbs\HobbEl20,2
Bobby Hoying\HoyiBo00,2
Brandon Hughes\HughBr99,2
Phillip Hunt\HuntPh00,2
Bobby Jackson\JackBo22,2
Ed Jasper\JaspEd20,2
Tommy Jeter\JeteTo20,2
Jimmie Johnson\JohnJi00,2
Norm Johnson\johnsnor01,2
Harry Jones\JoneHa01,2
John Kapele\KapeJo20,2
Steve Kaufusi\KaufSt20,2
Joe Kelly\KellJo21,2
Jeff Kemp\KempJe00,2
John Klingel\KlinJo20,2
Scott Kowalkowski\KowaSc20,2
Kent Kramer\KramKe00,2
Dion Lewis\LewiDi00,2
Dave Little\LittDa20,2
Red Mack\MackRe00,2
Kelvin Martin\MartKe00,2
